item_code,item_name,item_description,qty,qty_unit,manual_unit_price,unit_cost,cost_currency,tax_class,markup_override
3.2.1,PRETREATMENT FILTER SKID ASSEMBLY,PRETREATMENT FILTER SKID ASSEMBLY; IP66/NEMA 4X outdoor electrical enclosure; NFPA 2 hydrogen technologies design consideration; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: KRW.,4,EA,,21630136.99,KRW,,21
3.2.2,PRETREATMENT FILTER SKID MODULE,PRETREATMENT FILTER SKID MODULE; ATEX/IECEx suitable hydrogen-area component selection; ASME B31.3 process piping fabrication basis; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: HKD.,5,EA,,124007.81,HKD,,22
3.2.3,PRETREATMENT FILTER SKID PANEL,PRETREATMENT FILTER SKID PANEL; 316L stainless steel wetted construction; CE/UKCA technical file support package; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: JPY.,2,EA,,2381492.54,JPY,,23
3.2.4,PRETREATMENT FILTER SKID MANIFOLD,PRETREATMENT FILTER SKID MANIFOLD; duplex stainless steel process wetted construction; UL 508A industrial control panel construction basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: CNY.,3,EA,,114564.29,CNY,,24
3.2.5,PRETREATMENT FILTER SKID SENSOR SET,PRETREATMENT FILTER SKID SENSOR SET; EPDM/PTFE compatible deionized water service; ISO 9001 traceable manufacturing record package; design ambient -20 to 45 degC. Supplier cost currency: USD.,4,EA,,16122,USD,,20
3.2.6,PRETREATMENT FILTER SKID INSTALL KIT,PRETREATMENT FILTER SKID INSTALL KIT; copper busbar with tin-plated contact surfaces; IEC 60204-1 electrical machinery compliance; outdoor containerized service with marine C4 coating allowance. Supplier cost currency: SGD.,5,EA,,21898.65,SGD,,21
3.3,RO AND EDI POLISHING,"Reverse osmosis membranes, EDI modules, conductivity control, and reject handling.",1,LOT,,,,,
3.3.1,RO AND EDI ASSEMBLY,RO AND EDI ASSEMBLY; ATEX/IECEx suitable hydrogen-area component selection; ASME B31.3 process piping fabrication basis; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: JPY.,5,EA,,2377164.18,JPY,,22
3.3.2,RO AND EDI MODULE,RO AND EDI MODULE; 316L stainless steel wetted construction; CE/UKCA technical file support package; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: CNY.,2,EA,,114357.14,CNY,,23
3.3.3,RO AND EDI PANEL,RO AND EDI PANEL; duplex stainless steel process wetted construction; UL 508A industrial control panel construction basis; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: USD.,3,EA,,16093,USD,,24
3.3.4,RO AND EDI MANIFOLD,RO AND EDI MANIFOLD; EPDM/PTFE compatible deionized water service; ISO 9001 traceable manufacturing record package; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: SGD.,4,EA,,21859.46,SGD,,20
3.3.5,RO AND EDI SENSOR SET,RO AND EDI SENSOR SET; copper busbar with tin-plated contact surfaces; IEC 60204-1 electrical machinery compliance; design ambient -20 to 45 degC. Supplier cost currency: AUD.,5,EA,,25404.69,AUD,,21
3.3.6,RO AND EDI INSTALL KIT,RO AND EDI INSTALL KIT; powder-coated carbon steel structural frame; IEC 61511 instrumented protection design basis; outdoor containerized service with marine C4 coating allowance. Supplier cost currency: GBP.,2,EA,,13073.60,GBP,,22
3.4,DEIONIZED WATER STORAGE,"DI water tank, nitrogen blanket, level control, recirculation, and UV sterilization.",1,LOT,,,,,
3.4.1,DEIONIZED WATER STORAGE ASSEMBLY,DEIONIZED WATER STORAGE ASSEMBLY; 316L stainless steel wetted construction; CE/UKCA technical file support package; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: USD.,2,EA,,16064,USD,,23
3.4.2,DEIONIZED WATER STORAGE MODULE,DEIONIZED WATER STORAGE MODULE; duplex stainless steel process wetted construction; UL 508A industrial control panel construction basis; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: SGD.,3,EA,,21820.27,SGD,,24
3.4.3,DEIONIZED WATER STORAGE PANEL,DEIONIZED WATER STORAGE PANEL; EPDM/PTFE compatible deionized water service; ISO 9001 traceable manufacturing record package; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: AUD.,4,EA,,25359.38,AUD,,20
3.4.4,DEIONIZED WATER STORAGE MANIFOLD,DEIONIZED WATER STORAGE MANIFOLD; copper busbar with tin-plated contact surfaces; IEC 60204-1 electrical machinery compliance; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: GBP.,5,EA,,13050.40,GBP,,21
3.4.5,DEIONIZED WATER STORAGE SENSOR SET,DEIONIZED WATER STORAGE SENSOR SET; powder-coated carbon steel structural frame; IEC 61511 instrumented protection design basis; design ambient -20 to 45 degC. Supplier cost currency: EUR.,2,EA,,15181.48,EUR,,22
3.4.6,DEIONIZED WATER STORAGE INSTALL KIT,DEIONIZED WATER STORAGE INSTALL KIT; FRP/HDPE chemical-resistant utility construction; ISO 22734 hydrogen generator equipment requirements; outdoor containerized service with marine C4 coating allowance. Supplier cost currency: KRW.,3,EA,,22573972.60,KRW,,23
3.5,FEED WATER PUMPING,"Duty/standby feed pumps, VFDs, pulsation dampers, and instrumentation.",1,LOT,,,,,
3.5.1,FEED WATER PUMPING ASSEMBLY,FEED WATER PUMPING ASSEMBLY; duplex stainless steel process wetted construction; UL 508A industrial control panel construction basis; hydrogen product pressure 30 barg downstream of dryer. Supplier cost currency: AUD.,3,EA,,25314.06,AUD,,24
3.5.2,FEED WATER PUMPING MODULE,FEED WATER PUMPING MODULE; EPDM/PTFE compatible deionized water service; ISO 9001 traceable manufacturing record package; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: GBP.,4,EA,,13027.20,GBP,,20
3.5.3,FEED WATER PUMPING PANEL,FEED WATER PUMPING PANEL; copper busbar with tin-plated contact surfaces; IEC 60204-1 electrical machinery compliance; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: EUR.,5,EA,,15154.63,EUR,,21
3.5.4,FEED WATER PUMPING MANIFOLD,FEED WATER PUMPING MANIFOLD; powder-coated carbon steel structural frame; IEC 61511 instrumented protection design basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: KRW.,2,EA,,22534246.58,KRW,,22
3.5.5,FEED WATER PUMPING SENSOR SET,FEED WATER PUMPING SENSOR SET; FRP/HDPE chemical-resistant utility construction; ISO 22734 hydrogen generator equipment requirements; design ambient -20 to 45 degC. Supplier cost currency: HKD.,3,EA,,129164.06,HKD,,23
3.5.6,FEED WATER PUMPING INSTALL KIT,FEED WATER PUMPING INSTALL KIT; IP66/NEMA 4X outdoor electrical enclosure; NFPA 2 hydrogen technologies design consideration; outdoor containerized service with marine C4 coating allowance. Supplier cost currency: JPY.,4,EA,,2480000,JPY,,24
4,ELECTROLYZER STACK ARRAYS,"PEM electrolyzer stack modules, cell compression systems, manifolds, balance-of-stack hardware, and stack monitoring.",1,LOT,,,,,
4.1,PEM STACK MODULES,"PEM stack blocks, compression frames, end plates, membranes, and cell hardware.",1,LOT,,,,,
4.1.1,PEM STACK BLOCK 1 MW,PEM STACK BLOCK 1 MW; IP66/NEMA 4X outdoor electrical enclosure; ISO 22734 hydrogen generator equipment requirements; grid input 11 kV medium voltage with transformer step-down. Supplier cost currency: HKD.,6,EA,,988000,HKD,,17
4.1.2,STACK COMPRESSION FRAME,STACK COMPRESSION FRAME; ATEX/IECEx suitable hydrogen-area component selection; NFPA 2 hydrogen technologies design consideration; nominal hydrogen output 400 Nm3/h package basis. Supplier cost currency: JPY.,7,EA,,18887611.94,JPY,,18
4.1.3,TITANIUM END PLATE SET,TITANIUM END PLATE SET; 316L stainless steel wetted construction; ASME B31.3 process piping fabrication basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: CNY.,4,EA,,904500,CNY,,19
4.1.4,MEMBRANE ELECTRODE ASSEMBLY LOT,MEMBRANE ELECTRODE ASSEMBLY LOT; duplex stainless steel process wetted construction; CE/UKCA technical file support package; design ambient -20 to 45 degC. Supplier cost currency: USD.,5,EA,,126713,USD,,20
4.1.5,BIPOLAR PLATE SET,BIPOLAR PLATE SET; EPDM/PTFE compatible deionized water service; UL 508A industrial control panel construction basis; outdoor containerized service with marine C4 coating allowance. Supplier cost currency: SGD.,6,EA,,171345.95,SGD,,16
