item_code,item_name,item_description,qty,qty_unit,manual_unit_price,unit_cost,cost_currency,tax_class,markup_override
2.3.2,OPERATING PHILOSOPHY PACKAGE MODULE,OPERATING PHILOSOPHY PACKAGE MODULE; aluminum cable ladder and support hardware; API-style inspection and test plan documentation; continuous operation duty with remote monitoring. Supplier cost currency: SGD.,55,KG,,1114.25,SGD,,11
2.3.3,OPERATING PHILOSOPHY PACKAGE ACCESSORY,OPERATING PHILOSOPHY PACKAGE ACCESSORY; PTFE-lined valve trim; ISO 22734 hydrogen generator design basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: KRW.,60,TON,,11498638.8,KRW,,6
2.3.4,OPERATING PHILOSOPHY PACKAGE SERVICE,OPERATING PHILOSOPHY PACKAGE SERVICE; industrial Ethernet-ready control module; ASME B31.3 process piping fabrication basis; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: USD.,65,EA,,856,USD,,14
3,ELECTRICAL ENGINEERING DELIVERABLES,ELECTRICAL ENGINEERING DELIVERABLES; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
3.1,SINGLE-LINE DESIGN PACKAGE,"SINGLE-LINE DESIGN PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
3.1.1,SINGLE-LINE DESIGN PACKAGE ASSEMBLY,SINGLE-LINE DESIGN PACKAGE ASSEMBLY; duplex stainless pipe spool; EN 1090 structural fabrication documentation; site commissioning supervision included. Supplier cost currency: SGD.,47,KG,,656.59,SGD,,9
3.1.2,SINGLE-LINE DESIGN PACKAGE MODULE,SINGLE-LINE DESIGN PACKAGE MODULE; HDPE utility distribution header; API-style inspection and test plan documentation; spare terminals reserved for future expansion. Supplier cost currency: KRW.,52,TON,,6989104.1,KRW,,12
3.1.3,SINGLE-LINE DESIGN PACKAGE ACCESSORY,SINGLE-LINE DESIGN PACKAGE ACCESSORY; aluminum cable ladder and support hardware; ISO 22734 hydrogen generator design basis; maintenance access clearances included in layout. Supplier cost currency: USD.,57,EA,,666.45,USD,,14
3.1.4,SINGLE-LINE DESIGN PACKAGE SERVICE,SINGLE-LINE DESIGN PACKAGE SERVICE; PTFE-lined valve trim; ASME B31.3 process piping fabrication basis; operator training material included in handover pack. Supplier cost currency: EUR.,62,SET,,698.16,EUR,,6
3.2,LOAD LIST AND CABLE DESIGN,"LOAD LIST AND CABLE DESIGN covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
3.2.1,LOAD LIST AND CABLE DESIGN ASSEMBLY,LOAD LIST AND CABLE DESIGN ASSEMBLY; HDPE utility distribution header; API-style inspection and test plan documentation; maintenance access clearances included in layout. Supplier cost currency: EUR.,54,EA,,622.98,EUR,,4
3.2.2,LOAD LIST AND CABLE DESIGN MODULE,LOAD LIST AND CABLE DESIGN MODULE; aluminum cable ladder and support hardware; ISO 22734 hydrogen generator design basis; operator training material included in handover pack. Supplier cost currency: CNY.,59,SET,,4635.85,CNY,,14
3.2.3,LOAD LIST AND CABLE DESIGN ACCESSORY,LOAD LIST AND CABLE DESIGN ACCESSORY; PTFE-lined valve trim; ASME B31.3 process piping fabrication basis; continuous operation duty with remote monitoring. Supplier cost currency: GBP.,64,LOT,,690.8,GBP,,6
3.2.4,LOAD LIST AND CABLE DESIGN SERVICE,LOAD LIST AND CABLE DESIGN SERVICE; industrial Ethernet-ready control module; IEC 60204 machine electrical safety basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: JPY.,69,M,,1219860,JPY,,16
3.3,PROTECTION COORDINATION STUDY,"PROTECTION COORDINATION STUDY covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
3.3.1,PROTECTION COORDINATION STUDY ASSEMBLY,PROTECTION COORDINATION STUDY ASSEMBLY; aluminum cable ladder and support hardware; ISO 22734 hydrogen generator design basis; continuous operation duty with remote monitoring. Supplier cost currency: JPY.,61,LOT,,1148701.45,JPY,,5
3.3.2,PROTECTION COORDINATION STUDY MODULE,PROTECTION COORDINATION STUDY MODULE; PTFE-lined valve trim; ASME B31.3 process piping fabrication basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: AUD.,66,M,,1335.4,AUD,,6
3.3.3,PROTECTION COORDINATION STUDY ACCESSORY,PROTECTION COORDINATION STUDY ACCESSORY; industrial Ethernet-ready control module; IEC 60204 machine electrical safety basis; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: HKD.,71,M2,,6513,HKD,,16
3.3.4,PROTECTION COORDINATION STUDY SERVICE,PROTECTION COORDINATION STUDY SERVICE; 316L stainless steel wetted parts; NFPA 2 hydrogen technologies layout guidance; feed water conductivity target below 1 uS/cm. Supplier cost currency: SGD.,76,M3,,1238.63,SGD,,18
4,MECHANICAL ENGINEERING DELIVERABLES,MECHANICAL ENGINEERING DELIVERABLES; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
4.1,EQUIPMENT DATASHEET PACKAGE,"EQUIPMENT DATASHEET PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
4.1.1,EQUIPMENT DATASHEET PACKAGE ASSEMBLY,EQUIPMENT DATASHEET PACKAGE ASSEMBLY; HDPE utility distribution header; ISO 22734 hydrogen generator design basis; spare terminals reserved for future expansion. Supplier cost currency: AUD.,58,M,,818.65,AUD,,4
4.1.2,EQUIPMENT DATASHEET PACKAGE MODULE,EQUIPMENT DATASHEET PACKAGE MODULE; aluminum cable ladder and support hardware; ASME B31.3 process piping fabrication basis; maintenance access clearances included in layout. Supplier cost currency: HKD.,63,M2,,4208.65,HKD,,16
4.1.3,EQUIPMENT DATASHEET PACKAGE ACCESSORY,EQUIPMENT DATASHEET PACKAGE ACCESSORY; PTFE-lined valve trim; IEC 60204 machine electrical safety basis; operator training material included in handover pack. Supplier cost currency: SGD.,68,M3,,937.12,SGD,,6
4.1.4,EQUIPMENT DATASHEET PACKAGE SERVICE,EQUIPMENT DATASHEET PACKAGE SERVICE; industrial Ethernet-ready control module; NFPA 2 hydrogen technologies layout guidance; continuous operation duty with remote monitoring. Supplier cost currency: KRW.,73,HR,,9425000,KRW,,20
4.2,LAYOUT AND ACCESS PACKAGE,"LAYOUT AND ACCESS PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
4.2.1,LAYOUT AND ACCESS PACKAGE ASSEMBLY,LAYOUT AND ACCESS PACKAGE ASSEMBLY; aluminum cable ladder and support hardware; ASME B31.3 process piping fabrication basis; operator training material included in handover pack. Supplier cost currency: KRW.,65,M3,,8787121.45,KRW,,5
4.2.2,LAYOUT AND ACCESS PACKAGE MODULE,LAYOUT AND ACCESS PACKAGE MODULE; PTFE-lined valve trim; IEC 60204 machine electrical safety basis; continuous operation duty with remote monitoring. Supplier cost currency: USD.,70,HR,,807.8,USD,,6
4.2.3,LAYOUT AND ACCESS PACKAGE ACCESSORY,LAYOUT AND ACCESS PACKAGE ACCESSORY; industrial Ethernet-ready control module; NFPA 2 hydrogen technologies layout guidance; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: EUR.,75,DAY,,673.44,EUR,,20
4.2.4,LAYOUT AND ACCESS PACKAGE SERVICE,LAYOUT AND ACCESS PACKAGE SERVICE; 316L stainless steel wetted parts; UL 508A industrial control panel construction basis; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: CNY.,80,KG,,5741.35,CNY,,22
4.3,MECHANICAL CALCULATION PACKAGE,"MECHANICAL CALCULATION PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
4.3.1,MECHANICAL CALCULATION PACKAGE ASSEMBLY,MECHANICAL CALCULATION PACKAGE ASSEMBLY; PTFE-lined valve trim; IEC 60204 machine electrical safety basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: CNY.,72,DAY,,5546,CNY,,6
4.3.2,MECHANICAL CALCULATION PACKAGE MODULE,MECHANICAL CALCULATION PACKAGE MODULE; industrial Ethernet-ready control module; NFPA 2 hydrogen technologies layout guidance; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: GBP.,77,KG,,651.2,GBP,,20
4.3.3,MECHANICAL CALCULATION PACKAGE ACCESSORY,MECHANICAL CALCULATION PACKAGE ACCESSORY; 316L stainless steel wetted parts; UL 508A industrial control panel construction basis; feed water conductivity target below 1 uS/cm. Supplier cost currency: JPY.,82,TON,,1420757.35,JPY,,22
4.3.4,MECHANICAL CALCULATION PACKAGE SERVICE,MECHANICAL CALCULATION PACKAGE SERVICE; powder-coated carbon steel frame; CE technical file support package; ambient design range from -10 C to 45 C. Supplier cost currency: AUD.,87,EA,,1491.7,AUD,,24
5,CIVIL AND STRUCTURAL ENGINEERING,CIVIL AND STRUCTURAL ENGINEERING; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
5.1,FOUNDATION DESIGN PACKAGE,"FOUNDATION DESIGN PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
5.1.1,FOUNDATION DESIGN PACKAGE ASSEMBLY,FOUNDATION DESIGN PACKAGE ASSEMBLY; aluminum cable ladder and support hardware; IEC 60204 machine electrical safety basis; maintenance access clearances included in layout. Supplier cost currency: GBP.,69,KG,,523.85,GBP,,5
5.1.2,FOUNDATION DESIGN PACKAGE MODULE,FOUNDATION DESIGN PACKAGE MODULE; PTFE-lined valve trim; NFPA 2 hydrogen technologies layout guidance; operator training material included in handover pack. Supplier cost currency: JPY.,74,TON,,917058.8,JPY,,6
5.1.3,FOUNDATION DESIGN PACKAGE ACCESSORY,FOUNDATION DESIGN PACKAGE ACCESSORY; industrial Ethernet-ready control module; UL 508A industrial control panel construction basis; continuous operation duty with remote monitoring. Supplier cost currency: AUD.,79,EA,,974.95,AUD,,24
5.1.4,FOUNDATION DESIGN PACKAGE SERVICE,FOUNDATION DESIGN PACKAGE SERVICE; 316L stainless steel wetted parts; CE technical file support package; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: HKD.,84,SET,,5414.95,HKD,,10
5.2,STEEL SUPPORT DESIGN,"STEEL SUPPORT DESIGN covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
5.2.1,STEEL SUPPORT DESIGN ASSEMBLY,STEEL SUPPORT DESIGN ASSEMBLY; PTFE-lined valve trim; NFPA 2 hydrogen technologies layout guidance; continuous operation duty with remote monitoring. Supplier cost currency: HKD.,76,EA,,5193.2,HKD,,6
5.2.2,STEEL SUPPORT DESIGN MODULE,STEEL SUPPORT DESIGN MODULE; industrial Ethernet-ready control module; UL 508A industrial control panel construction basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: SGD.,81,SET,,966.96,SGD,,24
5.2.3,STEEL SUPPORT DESIGN ACCESSORY,STEEL SUPPORT DESIGN ACCESSORY; 316L stainless steel wetted parts; CE technical file support package; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: KRW.,86,LOT,,11223017.35,KRW,,10
5.2.4,STEEL SUPPORT DESIGN SERVICE,STEEL SUPPORT DESIGN SERVICE; powder-coated carbon steel frame; ISO 9001 traceable manufacturing record package; feed water conductivity target below 1 uS/cm. Supplier cost currency: USD.,91,M,,871.7,USD,,11
5.3,DRAINAGE AND GRADING PACKAGE,"DRAINAGE AND GRADING PACKAGE covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
5.3.1,DRAINAGE AND GRADING PACKAGE ASSEMBLY,DRAINAGE AND GRADING PACKAGE ASSEMBLY; industrial Ethernet-ready control module; UL 508A industrial control panel construction basis; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: USD.,83,LOT,,793,USD,,7
5.3.2,DRAINAGE AND GRADING PACKAGE MODULE,DRAINAGE AND GRADING PACKAGE MODULE; 316L stainless steel wetted parts; CE technical file support package; feed water conductivity target below 1 uS/cm. Supplier cost currency: EUR.,88,M,,804.87,EUR,,10
5.3.3,DRAINAGE AND GRADING PACKAGE ACCESSORY,DRAINAGE AND GRADING PACKAGE ACCESSORY; powder-coated carbon steel frame; ISO 9001 traceable manufacturing record package; ambient design range from -10 C to 45 C. Supplier cost currency: CNY.,93,M2,,6651.5,CNY,,11
5.3.4,DRAINAGE AND GRADING PACKAGE SERVICE,DRAINAGE AND GRADING PACKAGE SERVICE; FRP chemical-resistant cabinet; IECEx hazardous-area component selection basis; factory acceptance testing included before shipment. Supplier cost currency: GBP.,98,M3,,837.65,GBP,,12
6,SAFETY AND HAZOP SERVICES,SAFETY AND HAZOP SERVICES; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
6.1,HAZOP WORKSHOP SUPPORT,"HAZOP WORKSHOP SUPPORT covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
6.1.1,HAZOP WORKSHOP SUPPORT ASSEMBLY,HAZOP WORKSHOP SUPPORT ASSEMBLY; PTFE-lined valve trim; UL 508A industrial control panel construction basis; operator training material included in handover pack. Supplier cost currency: EUR.,80,M,,640.2,EUR,,6
6.1.2,HAZOP WORKSHOP SUPPORT MODULE,HAZOP WORKSHOP SUPPORT MODULE; industrial Ethernet-ready control module; CE technical file support package; continuous operation duty with remote monitoring. Supplier cost currency: CNY.,85,M2,,4377.6,CNY,,11
6.1.3,HAZOP WORKSHOP SUPPORT ACCESSORY,HAZOP WORKSHOP SUPPORT ACCESSORY; 316L stainless steel wetted parts; ISO 9001 traceable manufacturing record package; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: GBP.,90,M3,,554.15,GBP,,12
6.1.4,HAZOP WORKSHOP SUPPORT SERVICE,HAZOP WORKSHOP SUPPORT SERVICE; powder-coated carbon steel frame; IECEx hazardous-area component selection basis; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: JPY.,95,HR,,1189114.7,JPY,,14
6.2,SIL AND LOPA SUPPORT,"SIL AND LOPA SUPPORT covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
6.2.1,SIL AND LOPA SUPPORT ASSEMBLY,SIL AND LOPA SUPPORT ASSEMBLY; industrial Ethernet-ready control module; CE technical file support package; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: JPY.,87,M3,,1117800,JPY,,7
6.2.2,SIL AND LOPA SUPPORT MODULE,SIL AND LOPA SUPPORT MODULE; 316L stainless steel wetted parts; ISO 9001 traceable manufacturing record package; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: AUD.,92,HR,,1184.5,AUD,,12
6.2.3,SIL AND LOPA SUPPORT ACCESSORY,SIL AND LOPA SUPPORT ACCESSORY; powder-coated carbon steel frame; IECEx hazardous-area component selection basis; feed water conductivity target below 1 uS/cm. Supplier cost currency: HKD.,97,DAY,,6399.5,HKD,,14
6.2.4,SIL AND LOPA SUPPORT SERVICE,SIL AND LOPA SUPPORT SERVICE; FRP chemical-resistant cabinet; EN 1090 structural fabrication documentation; ambient design range from -10 C to 45 C. Supplier cost currency: SGD.,102,KG,,1247.49,SGD,,15
6.3,HAZARDOUS AREA CLASSIFICATION,"HAZARDOUS AREA CLASSIFICATION covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
6.3.1,HAZARDOUS AREA CLASSIFICATION ASSEMBLY,HAZARDOUS AREA CLASSIFICATION ASSEMBLY; 316L stainless steel wetted parts; ISO 9001 traceable manufacturing record package; feed water conductivity target below 1 uS/cm. Supplier cost currency: SGD.,94,DAY,,1152.95,SGD,,8
6.3.2,HAZARDOUS AREA CLASSIFICATION MODULE,HAZARDOUS AREA CLASSIFICATION MODULE; powder-coated carbon steel frame; IECEx hazardous-area component selection basis; ambient design range from -10 C to 45 C. Supplier cost currency: KRW.,99,KG,,13021034.7,KRW,,14
6.3.3,HAZARDOUS AREA CLASSIFICATION ACCESSORY,HAZARDOUS AREA CLASSIFICATION ACCESSORY; FRP chemical-resistant cabinet; EN 1090 structural fabrication documentation; factory acceptance testing included before shipment. Supplier cost currency: USD.,104,TON,,1013.05,USD,,15
6.3.4,HAZARDOUS AREA CLASSIFICATION SERVICE,HAZARDOUS AREA CLASSIFICATION SERVICE; copper busbar with tinned contact faces; API-style inspection and test plan documentation; site commissioning supervision included. Supplier cost currency: EUR.,109,EA,,1011.48,EUR,,16
7,PERMITTING AND COMPLIANCE,PERMITTING AND COMPLIANCE; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
7.1,AUTHORITY SUBMISSION PACK,"AUTHORITY SUBMISSION PACK covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
7.1.1,AUTHORITY SUBMISSION PACK ASSEMBLY,AUTHORITY SUBMISSION PACK ASSEMBLY; industrial Ethernet-ready control module; ISO 9001 traceable manufacturing record package; continuous operation duty with remote monitoring. Supplier cost currency: KRW.,91,KG,,8511500,KRW,,7
7.1.2,AUTHORITY SUBMISSION PACK MODULE,AUTHORITY SUBMISSION PACK MODULE; 316L stainless steel wetted parts; IECEx hazardous-area component selection basis; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: USD.,96,TON,,667.35,USD,,15
7.1.3,AUTHORITY SUBMISSION PACK ACCESSORY,AUTHORITY SUBMISSION PACK ACCESSORY; powder-coated carbon steel frame; EN 1090 structural fabrication documentation; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: EUR.,101,EA,,690.66,EUR,,16
7.1.4,AUTHORITY SUBMISSION PACK SERVICE,AUTHORITY SUBMISSION PACK SERVICE; FRP chemical-resistant cabinet; API-style inspection and test plan documentation; feed water conductivity target below 1 uS/cm. Supplier cost currency: CNY.,106,SET,,5639.25,CNY,,18
7.2,ENVIRONMENTAL PERMIT SUPPORT,"ENVIRONMENTAL PERMIT SUPPORT covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
7.2.1,ENVIRONMENTAL PERMIT SUPPORT ASSEMBLY,ENVIRONMENTAL PERMIT SUPPORT ASSEMBLY; 316L stainless steel wetted parts; IECEx hazardous-area component selection basis; hydrogen product pressure allowance up to 30 barg. Supplier cost currency: CNY.,98,EA,,5287.75,CNY,,8
7.2.2,ENVIRONMENTAL PERMIT SUPPORT MODULE,ENVIRONMENTAL PERMIT SUPPORT MODULE; powder-coated carbon steel frame; EN 1090 structural fabrication documentation; feed water conductivity target below 1 uS/cm. Supplier cost currency: GBP.,103,SET,,670.7,GBP,,16
7.2.3,ENVIRONMENTAL PERMIT SUPPORT ACCESSORY,ENVIRONMENTAL PERMIT SUPPORT ACCESSORY; FRP chemical-resistant cabinet; API-style inspection and test plan documentation; ambient design range from -10 C to 45 C. Supplier cost currency: JPY.,108,LOT,,1390012.05,JPY,,18
7.2.4,ENVIRONMENTAL PERMIT SUPPORT SERVICE,ENVIRONMENTAL PERMIT SUPPORT SERVICE; copper busbar with tinned contact faces; ISO 22734 hydrogen generator design basis; factory acceptance testing included before shipment. Supplier cost currency: AUD.,113,M,,1496.95,AUD,,20
7.3,CODE COMPLIANCE MATRIX,"CODE COMPLIANCE MATRIX covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
7.3.1,CODE COMPLIANCE MATRIX ASSEMBLY,CODE COMPLIANCE MATRIX ASSEMBLY; powder-coated carbon steel frame; EN 1090 structural fabrication documentation; ambient design range from -10 C to 45 C. Supplier cost currency: AUD.,105,LOT,,1394.05,AUD,,9
7.3.2,CODE COMPLIANCE MATRIX MODULE,CODE COMPLIANCE MATRIX MODULE; FRP chemical-resistant cabinet; API-style inspection and test plan documentation; factory acceptance testing included before shipment. Supplier cost currency: HKD.,110,M,,7384.05,HKD,,18
7.3.3,CODE COMPLIANCE MATRIX ACCESSORY,CODE COMPLIANCE MATRIX ACCESSORY; copper busbar with tinned contact faces; ISO 22734 hydrogen generator design basis; site commissioning supervision included. Supplier cost currency: SGD.,115,M2,,1433.48,SGD,,20
7.3.4,CODE COMPLIANCE MATRIX SERVICE,CODE COMPLIANCE MATRIX SERVICE; IP66 outdoor electrical enclosure; ASME B31.3 process piping fabrication basis; spare terminals reserved for future expansion. Supplier cost currency: KRW.,120,M3,,15457086.75,KRW,,22
8,ELECTROLYZER STACK SYSTEM,ELECTROLYZER STACK SYSTEM; fabricated quotation section for a large green hydrogen industrial complex with mixed imported and local supply scopes.,1,LOT,,,,,
8.1,STACK MODULE SUPPLY,"STACK MODULE SUPPLY covering engineering, procurement, fabrication, inspection, and handover support for the related plant scope.",1,LOT,,,,,
8.1.1,STACK MODULE SUPPLY ASSEMBLY,STACK MODULE SUPPLY ASSEMBLY; 316L stainless steel wetted parts; EN 1090 structural fabrication documentation; turn-down operation from 20 percent to 100 percent load. Supplier cost currency: HKD.,102,M,,4923.55,HKD,,8
